User ID,Area code,Location,Gender,YOB,Marital Status,Activity,Budget,Cuisines,Alcohol ,Smoker,Food Rating,Service Rating,Overall Rating,Often A S,Latitude,Longitude
1,153,"Upper East Side,NY",Female,2006,Single,Professional,3,Japanese,Never,Never,5,4,4.5,No,40.7736,-73.9566
2,123,"St. George,NY",Female,1991,Married,Student,3,Indian,Never,Socially,1,1,1,No,40.6438,-74.1365
3,122,"Upper West Side,NY",Male,1977,Single,Student,5,Seafood,Often,Often,5,5,5,Yes,40.7870,-73.9754
4,153,"Upper East Side,NY",Female,1956,Married,Professional,5,Japanese,Never,Socially,3,1,2,No,40.7736,-73.9566
5,129,"Central Park,NY",Male,1997,Single,Student,4,Filipino,Socially,Never,2,4,3,No,40.7851,-73.9683
6,111,"China Town, NY",Male,1995,Single,Student,5,Seafood,Never,Never,5,1,3,No,40.7158,-73.9970
7,111,"China Town, NY",Female,1977,Married,Professional,5,Indian,Often,Socially,1,4,2.5,No,40.7158,-73.9970
8,153,"Upper East Side,NY",Female,2003,Single,Professional,3,Filipino,Often,Often,5,2,3.5,Yes,40.7736,-73.9566
9,107,"Riverdale,NY",Male,1965,Single,Student,5,Italian,Socially,Socially,3,3,3,No,40.8996,-73.9134
10,129,"Central Park,NY",Male,1995,Single,Student,4,Chinese,Often,Often,5,2,3.5,Yes,40.7851,-73.9683
11,123,"St. George,NY",Female,1975,Married,Professional,4,French,Never,Often,3,2,2.5,No,40.6438,-74.1365
12,123,"St. George,NY",Male,1963,Married,Student,4,Chinese,Never,Socially,3,1,2,No,40.6438,-74.1365
13,123,"St. George,NY",Female,2006,Single,Professional,5,Chinese,Socially,Never,5,5,5,No,40.6438,-74.1365
14,107,"Riverdale,NY",Male,1980,Single,Student,5,Italian,Often,Socially,5,2,3.5,No,40.8996,-73.9134
15,107,"Riverdale,NY",Male,1956,Married,Student,3,Filipino,Often,Never,1,1,1,No,40.8996,-73.9134
16,153,"Upper East Side,NY",Female,1956,Married,Student,3,French,Often,Never,4,1,2.5,No,40.7736,-73.9566
17,107,"Riverdale,NY",Male,2007,Single,Student,5,Seafood,Socially,Never,2,1,1.5,No,40.8996,-73.9134
18,153,"Upper East Side,NY",Male,2004,Single,Student,3,Japanese,Often,Often,1,5,3,Yes,40.7736,-73.9566
19,129,"Central Park,NY",Male,2001,Single,Student,3,Filipino,Socially,Socially,3,5,4,No,40.7851,-73.9683
20,129,"Central Park,NY",Male,1959,Married,Student,4,Seafood,Often,Never,3,1,2,No,40.7851,-73.9683
21,123,"St. George,NY",Female,2009,Single,Student,3,Indian,Socially,Often,5,3,4,No,40.6438,-74.1365
22,153,"Upper East Side,NY",Female,1983,Married,Professional,5,Italian,Socially,Never,1,4,2.5,No,40.7736,-73.9566
23,107,"Riverdale,NY",Female,1971,Married,Professional,5,Chinese,Never,Often,4,2,3,No,40.8996,-73.9134
24,154,"Market City, NY",Male,1974,Divorced,Professional,1,Seafood,Socially,Often,5,5,5,No,40.73,-74.0
